date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
2023-01-26,1938.0,6.5,6.0,1938,6.5,,2.0,0.0,0.0,0.0,0.0
2023-01-27,2149.0,6.25,5.5,2149,6.25,6.0,0.0,0.0,0.5,0.0,0.0
2023-01-29,2313.0,6.22,5.5,,,,0.0,0.0,0.0,0.0,0.0
2023-01-30,2329.0,6.18,5.5,2329,6.18,5.5,0.0,0.0,0.0,0.0,0.0
2023-01-31,2455.0,6.13,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,2060.0,6.2,5.5,2060,6.2,5.5,0.0,0.0,0.0,0.0,0.0
2023-02-02,2166.0,6.18,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,2299.0,6.1,5.0,,,,0.0,0.0,0.0,0.0,0.0
2023-02-04,2439.5,6.06,5.0,,,,0.0,0.0,0.0,0.0,0.0
2023-02-05,2580.0,6.02,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-02-06,2188.0,6.0,6.0,2188,6,6.0,0.0,0.0,0.0,0.0,0.0
2023-02-07,2361.0,6.01,5.5,2361,6.01,5.5,0.0,0.0,0.0,0.0,0.0
2023-02-08,2547.0,5.9,5.0,,,6.0,0.0,1.0,0.0,1.0,0.0
2023-02-09,2540.0,5.86,5.5,,,,0.0,2.0,0.0,1.0,0.0
2023-02-10,2489.0,5.98,5.333333333333333,,,,0.0,0.0,0.0,0.0,0.0
2023-02-11,2572.0,5.85,5.166666666666667,,,,0.0,0.0,0.0,0.0,0.0
2023-02-12,2655.0,5.72,5.0,,,6.0,0.0,3.5,0.0,1.0,0.0
2023-02-13,2955.0,6.06,5.5,,,,0.0,0.0,0.0,0.0,0.0
2023-02-14,2235.0,6.31,5.5,,,5.5,0.0,0.0,0.0,0.0,0.0
2023-02-15,2510.0,6.45,5.0,,,6.0,2.0,0.0,0.0,1.0,0.0
2023-02-16,2698.0,6.3,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-02-17,2615.0,6.35,5.0,,,,0.0,0.0,0.0,0.0,1.0
2023-02-18,2571.5,6.585,5.0,,,,0.0,0.0,0.0,0.0,0.0
2023-02-19,2528.0,6.82,5.0,,,6.0,4.0,0.0,0.0,1.0,0.0
2023-02-20,2638.0,6.53,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2023-02-21,2329.0,6.66,4.8,,,5.8,0.0,0.0,0.0,0.0,0.0
2023-02-22,2397.0,6.73,5.0,,,5.0,3.0,0.0,0.0,0.0,0.0
2023-02-23,2347.0,6.74,4.0,,,6.0,3.0,0.0,0.0,2.0,0.0
2023-02-24,2490.0,7.1,4.0,,,6.0,4.0,0.0,0.0,1.5,0.0
2023-02-25,2497.0,6.845,4.0,,,,0.0,0.0,0.0,0.0,0.0
2023-02-26,2504.0,6.59,4.0,,,5.0,3.0,0.0,0.0,1.0,0.0
2023-02-27,2346.0,6.69,4.0,,,6.0,6.0,0.0,1.0,1.0,0.0
2023-02-28,1905.0,6.38,5.0,,,6.0,4.0,0.0,1.0,0.0,0.0
2023-03-01,2416.0,6.0,4.8,2416,6,4.8,0.0,0.0,0.0,0.0,0.0
