Date,Initial EC,Initial pH,Initial Nutrient Solution Volume,Final EC,Final pH,Final Nutrient Solution Volume,Comments,Type of pH Adjustment,Amount of pH Adjustment Used,Type of EC Adjustment,Amount of EC Adjustment Used
1/26,1938,6.5,6,1938,6.5,,,pH Down,2mL,,
1/27,2149,6.25,5.5,2149,6.25,6,,,,"Mature, No Water",1/2 gal
1/29,2313,6.22,5.5,,,,,,,,
1/30,2329,6.18,5.5,2329,6.18,5.5,,,,,
1/31,2455,6.13,5,,,6,Water EC Adjustment (1 gal),,,,
2/1,2060,6.2,5.5,2060,6.2,5.5,,,,,
2/2,2166,6.18,5,unmeasured,unmeasured,6,,,,,
2/3,2299,6.1,,,,,,,,,
2/4,,,,,,,,,,,
2/5,2580,6.02,5,,,6,1/2 : 1/2 ratio,,,"Immature, No Water",1 gal
2/6,2188,6,6,2188,6,6,,,,,
2/7,2361,6.01,5.5,2361,6.01,5.5,,,,,
2/8,2547,5.9,5,unmeasured,unmeasured,6,,pH Up,1mL,"Immature, No Water",1gal
2/9,2540,5.86,5.5,,,,,pH Up,2mL,"Immature, No Water",1 gal
2/10,2489,5.98,,,,,,,,,
2/11,,,,,,,,,,,
2/12,2655,5.72,5,unmeasured,unmeasured,6,,pH Up,3.5mL,"Immature, No Water",1 gal
2/13,2955,6.06,5.5,,,,,,,,
2/14,2235,6.31,5.5,unmeasured,unmeasured,5.5,,,,,
2/15,2510,6.45,5,unmeasured,unmeasured,6,,pH Down,2mL,"Immature, No Water",1 gal
2/16,2698,6.3,5,unmeasured,unmeasured,6,,,,"Immature, No Water",1 gal
2/17,2615,6.35,,,,,,,,Water,1 gal
2/18,,,,,,,,,,,
2/19,2528,6.82,5,,,6,,pH Down,4 mL,"Immature, No Water",1 gal
2/20,2638,6.53,5,unmeasured,unmeasured,6,,,,"Immature, No Water",1 gal
2/21,2329,6.66,4.8,unmeasured,unmeasured,5.8,,,,,
2/22,2397,6.73,5,unmeasured,unmeasured,5,,pH Down,3 mL,,
2/23,2347,6.74,4,unmeasured,unmeasured,6,,pH Down,3mL,"Immature, No Water",2 gal
2/24,2490,7.1,,,,6,,pH Down,4 mL,"Immature, No Water",1.5 gal
2/25,,,,,,,,,,,
2/26,2504,6.59,4,,,5,,pH Down,3 mL,"Immature, No Water",1 gal
2/27,2346,6.69,4,,,6,,pH Down,6ml,"1/2 Immature, 1/2 Mature",2 gal
2/28,1905,6.38,5,unmeasured ,unmeasured ,6,,pH Down,4 mL,"Mature, No Water",1 gal
3/1,2416,6,4.8,2416,6,4.8,,,,,
3/2,2630,6.48,3.5,,,6,,,,"Immature, No Water",2.5 gal
3/3,2690,6.16,4.5,unmeasured,unmeasured,6.5,,,,"Immature, No Water",2 gal
3/4,,,,,,,,,,,
