sim_initial_ec,sim_initial_ph,sim_initial_nutrient_solution_volume,date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
1937.8849378600094,6.49106876151133,6.015504896441906,2023-01-26,1938.0,6.5,6.0,1938.0,6.5,,2.0,0.0,0.0,0.0,0.0
1842.6926309023108,6.511225558637105,6.074128608329638,2023-01-27,2149.0,6.25,5.5,2149.0,6.25,6.0,0.0,0.0,0.5,0.0,0.0
2234.675428159389,6.381539370258528,5.557368729706561,2023-01-29,2313.0,6.22,5.5,,,,0.0,0.0,0.0,0.0,0.0
2347.6112127747924,6.322333361147824,5.30968433515981,2023-01-30,2329.0,6.18,5.5,2329.0,6.18,5.5,0.0,0.0,0.0,0.0,0.0
2373.329199420284,6.287713943499491,5.212994192944591,2023-01-31,2455.0,6.13,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2372.7305683097825,6.25933415394483,5.1661623496423825,2023-02-01,2060.0,6.2,5.5,2060.0,6.2,5.5,0.0,0.0,0.0,0.0,0.0
2364.609090583154,6.232220314744123,5.1357228527380885,2023-02-02,2166.0,6.18,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2354.550604462438,6.205217850715557,5.110666775089018,2023-02-03,2299.0,6.1,5.0,,,,0.0,0.0,0.0,0.0,0.0
2344.114614289902,6.1781624052712365,5.087401045696597,2023-02-04,2439.5,6.06,5.0,,,,0.0,0.0,0.0,0.0,0.0
2430.5296613888913,6.1827571104052765,4.656826891826157,2023-02-05,2580.0,6.02,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2416.4888240937717,6.163319792700542,5.0623796058852735,2023-02-06,2188.0,6.0,6.0,2188.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2367.880416823281,6.158522276956505,5.067356911862522,2023-02-07,2361.0,6.01,5.5,2361.0,6.01,5.5,0.0,0.0,0.0,0.0,0.0
2477.702033303458,6.09767246190215,4.74025595417501,2023-02-08,2547.0,5.9,5.0,,,6.0,0.0,1.0,0.0,1.0,0.0
2655.245891743163,6.0230136766253795,4.922466172478292,2023-02-09,2540.0,5.86,5.5,,,,0.0,2.0,0.0,1.0,0.0
2627.8805872287135,6.172741951789472,5.304804667165261,2023-02-10,2489.0,5.98,5.333333333333333,,,,0.0,0.0,0.0,0.0,0.0
2509.4109904291786,6.248678010839646,5.226602142117459,2023-02-11,2572.0,5.85,5.166666666666667,,,,0.0,0.0,0.0,0.0,0.0
2674.9967073177354,6.039944159572054,5.1100621710152945,2023-02-12,2655.0,5.72,5.0,,,6.0,0.0,3.5,0.0,1.0,0.0
2717.014640286972,6.246185523556409,5.495144074567493,2023-02-13,2955.0,6.06,5.5,,,,0.0,0.0,0.0,0.0,0.0
2585.0405316568977,6.350494609428246,5.356812500802533,2023-02-14,2235.0,6.31,5.5,,,5.5,0.0,0.0,0.0,0.0,0.0
2593.2860613009702,6.541597899010342,4.86176965721691,2023-02-15,2510.0,6.45,5.0,,,6.0,2.0,0.0,0.0,1.0,0.0
2633.246020577927,6.409076893459002,4.823538554853886,2023-02-16,2698.0,6.3,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2704.0505294499344,6.396030182576186,4.921201516795516,2023-02-17,2615.0,6.35,5.0,,,,0.0,0.0,0.0,0.0,1.0
2457.066800742925,6.470202537906266,5.33868095815316,2023-02-18,2571.5,6.585,5.0,,,,0.0,0.0,0.0,0.0,0.0
2522.307706439108,6.724470798216948,4.831700304721122,2023-02-19,2528.0,6.82,5.0,,,6.0,4.0,0.0,0.0,1.0,0.0
2587.5372814559487,6.390994725747353,4.767732640385066,2023-02-20,2638.0,6.53,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2529.265657875537,6.389005029429395,5.22790545819254,2023-02-21,2329.0,6.66,4.8,,,5.8,0.0,0.0,0.0,0.0,0.0
