date,initial_ec,initial_ph,initial_nutrient_solution_volume,final_ec,final_ph,final_nutrient_solution_volume,pH_down_mL,pH_up_mL,nutrient_mature_gallons,nutrient_immature_gallons,water_gallons
1/26/2023,1938.0,6.5,6.0,1938,6.5,,2.0,0.0,0.0,0.0,0.0
1/27/2023,2149.0,6.25,5.5,2149,6.25,6.0,0.0,0.0,0.5,0.0,0.0
1/29/2023,2313.0,6.22,5.5,,,,0.0,0.0,0.0,0.0,0.0
1/30/2023,2329.0,6.18,5.5,2329,6.18,5.5,0.0,0.0,0.0,0.0,0.0
1/31/2023,2455.0,6.13,5.0,,,6.0,0.0,0.0,0.0,0.0,0.0
2/1/2023,2060.0,6.2,5.5,2060,6.2,5.5,0.0,0.0,0.0,0.0,0.0
2/2/2023,2166.0,6.18,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,0.0
2/3/2023,2299.0,6.1,,,,,0.0,0.0,0.0,0.0,0.0
2/4/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
2/5/2023,2580.0,6.02,5.0,,,6.0,0.0,0.0,0.0,1.0,0.0
2/6/2023,2188.0,6,6.0,2188,6,6.0,0.0,0.0,0.0,0.0,0.0
2/7/2023,2361.0,6.01,5.5,2361,6.01,5.5,0.0,0.0,0.0,0.0,0.0
2/8/2023,2547.0,5.9,5.0,unmeasured,unmeasured,6.0,0.0,1.0,0.0,1.0,0.0
2/9/2023,2540.0,5.86,5.5,,,,0.0,2.0,0.0,1.0,0.0
2/10/2023,2489.0,5.98,,,,,0.0,0.0,0.0,0.0,0.0
2/11/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
2/12/2023,2655.0,5.72,5.0,unmeasured,unmeasured,6.0,0.0,3.5,0.0,1.0,0.0
2/13/2023,2955.0,6.06,5.5,,,,0.0,0.0,0.0,0.0,0.0
2/14/2023,2235.0,6.31,5.5,unmeasured,unmeasured,5.5,0.0,0.0,0.0,0.0,0.0
2/15/2023,2510.0,6.45,5.0,unmeasured,unmeasured,6.0,2.0,0.0,0.0,1.0,0.0
2/16/2023,2698.0,6.3,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,1.0,0.0
2/17/2023,2615.0,6.35,,,,,0.0,0.0,0.0,0.0,1.0
2/18/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
2/19/2023,2528.0,6.82,5.0,,,6.0,4.0,0.0,0.0,1.0,0.0
2/20/2023,2638.0,6.53,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,1.0,0.0
2/21/2023,2329.0,6.66,4.8,unmeasured,unmeasured,5.8,0.0,0.0,0.0,0.0,0.0
2/22/2023,2397.0,6.73,5.0,unmeasured,unmeasured,5.0,3.0,0.0,0.0,0.0,0.0
2/23/2023,2347.0,6.74,4.0,unmeasured,unmeasured,6.0,3.0,0.0,0.0,2.0,0.0
2/24/2023,2490.0,7.1,,,,6.0,4.0,0.0,0.0,1.5,0.0
2/25/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
2/26/2023,2504.0,6.59,4.0,,,5.0,3.0,0.0,0.0,1.0,0.0
2/27/2023,2346.0,6.69,4.0,,,6.0,6.0,0.0,1.0,1.0,0.0
2/28/2023,1905.0,6.38,5.0,unmeasured ,unmeasured ,6.0,4.0,0.0,1.0,0.0,0.0
3/1/2023,2416.0,6,4.8,2416,6,4.8,0.0,0.0,0.0,0.0,0.0
3/2/2023,2630.0,6.48,3.5,,,6.0,0.0,0.0,0.0,2.5,0.0
3/3/2023,2690.0,6.16,4.5,unmeasured,unmeasured,6.5,0.0,0.0,0.0,2.0,0.0
3/4/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
3/5/2023,2938.0,6.45,4.0,unmeasured,unmeasured,6.0,5.0,0.0,0.0,2.0,0.0
3/6/2023,2860.0,6.28,,,,,3.0,0.0,0.0,0.0,1.0
3/7/2023,2798.0,6.21,4.5,unmeasured,unmeasured,6.0,6.0,0.0,0.0,0.0,1.5
3/8/2023,2414.0,6.12,5.0,unmeasured,unmeasuered,,0.0,0.0,0.0,1.0,0.0
3/9/2023,2545.0,6.2,5.0,unmeasured,6.2,6.0,0.0,0.0,0.75,0.0,0.25
3/10/2023,2710.0,6.2,5.0,,,,0.0,0.0,0.0,0.0,1.5
3/11/2023,2340.0,7.5,5.0,,,,7.0,0.0,0.0,1.0,0.0
3/12/2023,2557.0,6.04,4.8,unmeasured,unmeasured,5.8,0.0,0.0,0.0,1.0,0.0
3/13/2023,2678.0,6.08,5.0,,,,0.0,0.0,0.0,0.0,1.5
3/14/2023,2229.0,6.12,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,1.0,0.0
3/14/2023,2357.0,6.2,6.0,,,,0.0,0.0,0.0,0.0,0.0
3/15/2023,2333.0,6.13,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,1.0,0.0
3/16/2023,2662.0,6.378,5.0,unmeasured,unmeasured,,0.0,0.0,0.0,1.0,0.0
3/17/2023,2739.0,6.15,5.0,unmeasured,unmreeasured,6.0,0.0,0.0,0.0,1.0,0.0
3/18/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
3/19/2023,3332.0,5.97,3.0,unmeassured,unmreeasured,3.0,0.0,2.0,0.0,1.5,1.5
3/20/2023,2654.0,6.305,4.5,,,,0.0,0.0,0.0,1.5,0.0
3/21/2023,2414.0,6.32,5.0,,,,0.0,0.0,0.0,1.0,0.0
3/22/2023,2615.0,6.29,5.0,,,,0.0,0.0,0.0,0.0,1.0
3/23/2023,,,,,,,0.0,0.0,0.0,0.0,0.0
3/24/2023,2600.0,6.35,4.0,,,,0.0,0.0,0.0,2.0,0.0
3/25/2023,2895.0,6.34,4.0,,,6.0,0.0,0.0,0.0,0.0,2.0
3/26/2023,2279.0,6.33,5.0,2279,6.33,5.0,0.0,0.0,0.0,0.0,0.0
3/27/2023,2798.0,unknown,4.0,,,6.5,3.0,0.0,0.0,2.5,0.0
3/28/2023,2918.0,unknown,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,1.0
3/29/2023,2871.0,unknown,5.0,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.0,1.0
3/30/2023,2749.0,,,unmeasured,unmeasured,,0.0,0.0,0.0,0.0,0.0
3/31/2023,2346.0,6.7,5.5,unmeasured,unmeasured,5.5,3.0,0.0,0.0,0.0,0.0
4/1/2023,2703.0,,4.0,,,6.0,3.0,0.0,0.0,0.0,2.0
4/2/2023,2375.0,6.54,4.8,unmeasured,unmeasured,6.0,4.0,0.0,0.0,0.5,0.5
4/3/2023,2498.0,6.3,4.0,unmeasured,unmesured,6.0,0.0,0.0,0.0,2.0,0.0
4/4/2023,2502.0,6,5.5,unmeasured,unmeasured,6.0,0.0,0.0,0.0,0.25,0.25
4/5/2023,2646.0,unknown,5.0,,,,0.0,0.0,0.0,0.0,0.0
4/6/2023,2556.0,6.1,,,,,0.0,0.0,0.0,0.0,0.0
4/7/2023,2527.0,6.53,5.0,,,6.0,3.0,0.0,0.0,0.0,1.0
